10;11;6;2;3;3;4;2;17;7;11;2;5;7;7;3;5;2;2;2;3;12;2
Ein Zimmer;EG;Gas-Etage;ja;nah;nah;nah;ja;150-200;50-100;Neubau;ja;Nebenstrasse;Zentrum;keine;keine;Dusche;ja;ja;ja;ja;20-30;ja
Zwei Zimmer;1.Stock;Gas-Zentral;nein;erreichbar;erreichbar;erreichbar;nein;201-250;101-150;Ueber 100;nein;Spielstrasse;< 3 km;1000-1500;Kueche (neu);Badewanne;nein;nein;nein;teilmoebliert;31-40;nein
2-3 Zimmer;2.Stock;Oel;;fern;fern;nein;;251-300;151-200;1-3 Jahre;;Wohngebiet;3-5 km;1500-2000;Kueche (alt);Waschbecken;;;;nein;41-50;0
3 Zimmer;3.Stock;Pellets;;;;mit Bus;;301-350;201-250;4-7 Jahre;;Abgelegen;5-10 km;2000-2500;;Dusche + Wanne;;;;;51-60;0
3-4 Zimmer;4.Stock;Erdwaerme;;;;;;351-400;251-300;7-10 Jahre;;Hauptstrasse;11-20 km;2500-3000;;Dusche auf Flur;;;;;61-70;0
4 Zimmer;5.Stock;Lueftungsheizung;;;;;;401-450;unter 50;11-15 Jahre;;;21-30 km;bis 1000;;;;;;;71-80;0
4-5 Zimmer;6.Stock;;;;;;;451-500;Ueber 300;16-20 Jahre;;;> 30 km;Ueber 3000;;;;;;;81-90;0
5 Zimmer;7.Stock;;;;;;;501-550;;21-30 Jahre;;;;;;;;;;;91-100;0
5-6 Zimmer;8.Stock;;;;;;;551-600;;31-50 Jahre;;;;;;;;;;;101-110;0
6 Zimmer;9.Stock;;;;;;;601-650;;51-75 Jahre;;;;;;;;;;;111-120;0
;10.Stock;;;;;;;651-700;;76-100 Jahre;;;;;;;;;;;bis 20;0
;;;;;;;;701-750;;;;;;;;;;;;;Ueber 120;0
;;;;;;;;751-800;;;;;;;;;;;;;;0
;;;;;;;;801-850;;;;;;;;;;;;;;0
;;;;;;;;851-900;;;;;;;;;;;;;;0
;;;;;;;;901-950;;;;;;;;;;;;;;0
;;;;;;;;951-1000;;;;;;;;;;;;;;0
;;;;;;;;Ueber 1000;;;;;;;;;;;;;;0
